,Team,Sentiment_Avg,Win Diff,Bet Type
0,Air Force,-0.2761780231883436,-0.5,Under
1,Akron,-0.47614690898225503,-2.0,Under
2,Alabama,-0.21975346063781112,1.0,Over
3,Appalachian State,-0.021634380025413878,1.0,Over
4,Arizona,-0.11008641680995167,4.0,Over
5,Arizona State,-0.34684961132313075,-1.5,Under
6,Arkansas,-0.2573225561943319,-2.5,Under
7,Arkansas State,-0.5686194933950901,1.5,Over
8,Army,-0.6584363241732378,0.0,Push
9,Auburn,-0.4111351988145283,-0.5,Under
10,BYU,-0.16789637574063232,-0.5,Under
11,Ball State,0.10123917699400357,-1.0,Under
12,Baylor,-0.2863260764586465,-4.0,Under
13,Boise State,-0.38674796314533716,-1.5,Under
14,Boston College,-0.2212959776343017,0.5,Over
15,Bowling Green,-0.2535465505130713,2.5,Over
16,Buffalo,-0.2376274996756782,-3.0,Under
17,California,-0.22491403584307282,1.0,Over
18,Central Florida,-0.2149345583618658,-1.0,Under
19,Central Michigan,-0.03992878417174022,-0.5,Under
20,Charlotte,0.13523504932721456,-0.5,Under
21,Cincinnati,-0.3103945874343251,-2.0,Under
22,Clemson,-0.4700876054743295,-2.0,Under
23,Coastal Carolina,-0.32138140105913654,-0.5,Under
24,Colorado,-0.013071621676522573,0.5,Over
25,Colorado State,-0.07827225287724139,0.0,Push
26,Connecticut,-0.017380323578362084,-2.0,Under
27,East Carolina,-0.21694963606545228,-3.5,Under
28,Eastern Michigan,0.26218493538243426,-1.5,Under
29,Florida,-0.39190050860246023,-0.5,Under
30,Florida Atlantic,-0.04232319620648291,-3.5,Under
31,Florida International,-0.5353649544993263,0.5,Over
32,Florida State,-0.06451934402581876,2.5,Over
33,Georgia,-0.20200823604157475,0.5,Over
34,Georgia Southern,-0.40770421076584246,-0.5,Under
35,Georgia State,-0.35982089489698404,0.5,Over
36,Hawaii,-0.3923541433318998,1.5,Over
37,Houston,-0.08397928384667983,-0.5,Under
38,Illinois,-0.30177734012890334,-1.5,Under
39,Indiana,-0.26803335565975106,-0.5,Under
40,Iowa,-0.6104585981893995,1.5,Over
41,Jacksonville State,-0.681147229547302,3.5,Over
42,James Madison,-0.46053010405943035,2.5,Over
43,Kansas,-0.2584173149957597,2.0,Over
44,Kansas State,-0.08600381391603246,0.0,Push
45,Kent State,-0.18207268146879144,-1.5,Under
46,Kentucky,-0.9094757298854265,0.0,Push
47,LSU,-0.6138817151387533,-0.5,Under
48,Liberty,-0.5579248480139039,3.5,Over
49,Louisiana Lafayette,-0.16505118886738906,-1.5,Under
50,Louisiana Monroe,-0.2223113334084463,-1.5,Under
51,Louisiana Tech,-0.29231752212722223,-3.0,Under
52,Louisville,-0.42017714604910683,2.0,Over
53,Marshall,-0.12950840910421332,-1.5,Under
54,Maryland,-0.24461353916339776,-0.5,Under
55,Memphis,-0.839605510648754,1.0,Over
56,Miami (FL),-0.20710051132651863,-0.5,Under
57,Miami (OH),-0.0874315217371264,3.5,Over
58,Michigan,-0.0036192679536211523,1.5,Over
59,Michigan State,0.003732848414983688,-1.0,Under
60,Middle Tennessee State,-0.34190671247031007,-2.5,Under
61,Mississippi State,-0.256201013536365,-1.0,Under
62,Missouri,-0.07716441575926963,4.0,Over
63,NC State,-0.0007696495642738,2.5,Over
64,Navy,-0.3176105059780084,-1.5,Under
65,Nebraska,-0.3616034511947237,-1.5,Under
66,Nevada,-0.35820703837606643,-2.0,Under
67,New Mexico,-0.22645197696847358,0.5,Over
68,New Mexico State,-0.3092650503320426,3.5,Over
69,North Carolina,-0.3214043943661746,0.0,Push
70,Northern Illinois,0.12894909977912905,0.5,Over
71,Northwestern,-0.4950717445553196,4.0,Over
72,Notre Dame,-0.3856007996236994,0.5,Over
73,Ohio,-0.2509802039890062,1.5,Over
74,Ohio State,0.08746883089468928,0.5,Over
75,Oklahoma State,-0.048132008755648575,2.5,Over
76,Old Dominion,-0.1414741634919649,2.5,Over
77,Ole Miss,-0.2853226359591157,2.5,Over
78,Oregon,-0.5006448802139077,1.5,Over
79,Oregon State,-0.08582171576994435,-0.5,Under
80,Penn State,0.2969504267996193,0.5,Over
81,Pittsburgh,-0.2627841894318457,-4.0,Under
82,Purdue,-0.5114505778883351,-0.5,Under
83,Rice,0.26111228556193594,1.5,Over
84,Rutgers,-0.2818289255340714,1.5,Over
85,SMU,-0.2871618298226175,1.5,Over
86,Sam Houston State,-0.3809721652714033,-0.5,Under
87,San Diego State,-0.2711207851776883,-3.0,Under
88,San Jose State,-0.3220685616332703,1.5,Over
89,South Carolina,-0.12175044928590147,-1.0,Under
90,South Florida,-0.13723389580845832,1.5,Over
91,Southern Mississippi,-0.4210132417333868,-2.0,Under
92,Stanford,-0.6925247986014788,0.5,Over
93,Syracuse,-0.3045434902111689,0.0,Push
94,TCU,-0.02885727862267517,-2.5,Under
95,Temple,-0.16735734094961036,-2.5,Under
96,Tennessee,-0.42600608137197077,-1.0,Under
97,Texas,-0.0875706772246058,1.5,Over
98,Texas A&M,-0.3086149148918964,-1.0,Under
99,Texas San Antonio,-0.41347200208025064,-0.5,Under
100,Texas State,-0.09077207266946974,3.0,Over
101,Texas Tech,-0.005191682047314128,-1.5,Under
102,Toledo,-0.25347009955181016,2.0,Over
103,Tulane,-0.6887844329401529,2.0,Over
104,UAB,0.12186307559410732,-0.5,Under
105,UCLA,0.0027365551151410463,-1.5,Under
106,UNLV,-0.36260164897156577,3.5,Over
107,USC,-0.20387970346804948,-3.0,Under
108,Utah,-0.4018475827434633,-0.5,Under
109,Utah State,-0.15656598452150802,1.0,Over
110,Vanderbilt,-0.5325279330506044,-2.0,Under
111,Virginia,-0.4382499965582403,0.0,Push
112,Virginia Tech,-0.7116180099546909,1.0,Over
113,Wake Forest,0.06072513407303229,-2.5,Under
114,Washington,-0.3584659242985356,2.5,Over
115,Washington State,-0.5570103347827406,-1.0,Under
116,West Virginia,-0.7315222805352186,3.5,Over
117,Western Kentucky,-0.23415335516134894,-1.5,Under
118,Western Michigan,-0.35766984956605097,0.5,Over
119,Wisconsin,-0.20095213766610384,-1.5,Under
120,Wyoming,-0.18921365170251755,2.0,Over
